,종목코드,종목명
0,A282330,BGF리테일
1,A138930,BNK금융지주
2,A001040,CJ
3,A079160,CJ CGV
4,A000120,CJ대한통운
5,A097950,CJ제일제당
6,A005830,DB손해보험
7,A000990,DB하이텍
8,A007700,F&F
9,A114090,GKL
10,A078930,GS
11,A006360,GS건설
12,A007070,GS리테일
13,A012630,HDC
14,A294870,HDC현대산업개발
15,A011200,HMM
16,A001060,JW중외제약
17,A105560,KB금융
18,A002380,KCC
19,A016380,KG동부제철
20,A030200,KT
21,A033780,KT&G
22,A003550,LG
23,A034220,LG디스플레이
24,A001120,LG상사
25,A051900,LG생활건강
26,A032640,LG유플러스
27,A011070,LG이노텍
28,A066570,LG전자
29,A108670,LG하우시스
30,A051910,LG화학
31,A079550,LIG넥스원
32,A006260,LS
33,A010120,LS ELECTRIC
34,A035420,NAVER
35,A005940,NH투자증권
36,A010060,OCI
37,A005490,POSCO
38,A064960,S&T모티브
39,A010950,S-Oil
40,A034730,SK
41,A011790,SKC
42,A001740,SK네트웍스
43,A006120,SK디스커버리
44,A326030,SK바이오팜
45,A096770,SK이노베이션
46,A285130,SK케미칼
47,A017670,SK텔레콤
48,A000660,SK하이닉스
49,A005610,SPC삼립
50,A035250,강원랜드
51,A010130,고려아연
52,A011780,금호석유
53,A073240,금호타이어
54,A000270,기아차
55,A024110,기업은행
56,A008350,남선알미늄
57,A002350,넥센타이어
58,A251270,넷마블
59,A006280,녹십자
60,A005250,녹십자홀딩스
61,A004370,농심
62,A000210,대림산업
63,A001680,대상
64,A047040,대우건설
65,A042660,대우조선해양
66,A003090,대웅
67,A069620,대웅제약
68,A006650,대한유화
69,A003490,대한항공
70,A192080,더블유게임즈
71,A001230,동국제강
72,A026960,동서
73,A049770,동원F&B
74,A014820,동원시스템즈
75,A000150,두산
76,A241560,두산밥캣
77,A042670,두산인프라코어
78,A034020,두산중공업
79,A336260,두산퓨얼셀
80,A115390,락앤락
81,A032350,롯데관광개발
82,A023530,롯데쇼핑
83,A004000,롯데정밀화학
84,A004990,롯데지주
85,A005300,롯데칠성
86,A011170,롯데케미칼
87,A071840,롯데하이마트
88,A204320,만도
89,A008560,메리츠증권
90,A006800,미래에셋대우
91,A003850,보령제약
92,A003000,부광약품
93,A352820,빅히트
94,A005180,빙그레
95,A006400,삼성SDI
96,A028260,삼성물산
97,A207940,삼성바이오로직스
98,A032830,삼성생명
99,A018260,삼성에스디에스
100,A028050,삼성엔지니어링
101,A009150,삼성전기
102,A005930,삼성전자
103,A010140,삼성중공업
104,A016360,삼성증권
105,A029780,삼성카드
106,A000810,삼성화재
107,A145990,삼양사
108,A003230,삼양식품
109,A000070,삼양홀딩스
110,A004490,세방전지
111,A068270,셀트리온
112,A004170,신세계
113,A031430,신세계인터내셔날
114,A019170,신풍제약
115,A055550,신한지주
116,A003410,쌍용양회
117,A112610,씨에스윈드
118,A002790,아모레G
119,A090430,아모레퍼시픽
120,A020560,아시아나항공
121,A010780,아이에스동서
122,A018250,애경산업
123,A012750,에스원
124,A036570,엔씨소프트
125,A111770,영원무역
126,A003520,영진약품
127,A000670,영풍
128,A007310,오뚜기
129,A271560,오리온
130,A001800,오리온홀딩스
131,A316140,우리금융지주
132,A000100,유한양행
133,A214320,이노션
134,A139480,이마트
135,A007570,일양약품
136,A020150,일진머티리얼즈
137,A030000,제일기획
138,A185750,종근당
139,A013890,지누스
140,A035720,카카오
141,A192820,코스맥스
142,A120110,코오롱인더
143,A021240,코웨이
144,A192400,쿠쿠홀딩스
145,A284740,쿠쿠홈시스
146,A039490,키움증권
147,A003240,태광산업
148,A009410,태영건설
149,A028670,팬오션
150,A047050,포스코인터내셔널
151,A003670,포스코케미칼
152,A103140,풍산
153,A086790,하나금융지주
154,A000080,하이트진로
155,A036460,한국가스공사
156,A071050,한국금융지주
157,A015760,한국전력
158,A009540,한국조선해양
159,A161890,한국콜마
160,A161390,한국타이어앤테크놀로지
161,A000240,한국테크놀로지그룹
162,A047810,한국항공우주
163,A008930,한미사이언스
164,A128940,한미약품
165,A009240,한샘
166,A020000,한섬
167,A105630,한세실업
168,A014680,한솔케미칼
169,A018880,한온시스템
170,A009420,한올바이오파마
171,A006390,한일현대시멘트
172,A051600,한전KPS
173,A052690,한전기술
174,A180640,한진칼
175,A000880,한화
176,A088350,한화생명
177,A009830,한화솔루션
178,A272210,한화시스템
179,A012450,한화에어로스페이스
180,A000720,현대건설
181,A005440,현대그린푸드
182,A086280,현대글로비스
183,A064350,현대로템
184,A012330,현대모비스
185,A010620,현대미포조선
186,A069960,현대백화점
187,A017800,현대엘리베이
188,A011210,현대위아
189,A004020,현대제철
190,A267250,현대중공업지주
191,A005380,현대차
192,A001450,현대해상
193,A057050,현대홈쇼핑
194,A008770,호텔신라
195,A241590,화승엔터프라이즈
196,A004800,효성
197,A093370,후성
198,A081660,휠라홀딩스
199,A069260,휴켐스
