,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
1445,KR7311060008,A311060,엘에이티,엘에이티,LAT,2018/12/28,KONEX,주권,일반기업부,보통주,500,2554510
1446,KR7108320003,A108320,엘엑스세미콘,LX세미콘,LX Semicon,2010/06/08,KOSDAQ,주권,우량기업부,보통주,500,16264300
1447,KR7108671009,A108675,엘엑스하우시스1우선주,LX하우시스우,"LX HAUSYS, LTD.(1P)",2009/04/20,KOSPI,주권,,구형우선주,5000,1032330
1448,KR7108670001,A108670,엘엑스하우시스보통주,LX하우시스,"LX HAUSYS, LTD.",2009/04/20,KOSPI,주권,,보통주,5000,8967670
1449,KR738380K012,A38380K,엘엑스홀딩스1우선주,LX홀딩스1우,LX HOLDINGS(1P),2021/05/27,KOSPI,주권,,종류주권,1000,1465285
1450,KR7383800000,A383800,엘엑스홀딩스보통주,LX홀딩스,LX HOLDINGS,2021/05/27,KOSPI,주권,,보통주,1000,76280690
1451,KR7073110009,A073110,엘엠에스,엘엠에스,"LMS Co.,Ltd.",2007/10/12,KOSDAQ,주권,벤처기업부,보통주,500,8895755
1452,KR7083310003,A083310,엘오티베큠,엘오티베큠,"LOT Vacuum. Co., Ltd.",2005/10/05,KOSDAQ,주권,우량기업부,보통주,500,17810033
1453,KR7037560000,A037560,엘지헬로비전보통주,LG헬로비전,LG HelloVision,2012/11/09,KOSPI,주권,,보통주,2500,77446865
1454,KR7037950003,A037950,엘컴텍,엘컴텍,"ELCOMTEC CO.,LTD",2000/08/24,KOSDAQ,주권,중견기업부,보통주,500,84447519
1455,KR7170920003,A170920,엘티씨,엘티씨,"LTC Co., LTD.",2013/10/08,KOSDAQ,주권,벤처기업부,보통주,500,8019363
1456,KR7058630005,A058630,엠게임,엠게임,Mgame Corp.,2008/12/19,KOSDAQ,주권,벤처기업부,보통주,500,19543877
1457,KR7058970005,A058970,엠로,엠로,"EMRO., Incorporated",2021/08/13,KOSDAQ,주권,기술성장기업부,보통주,500,5426060
1458,KR7019590009,A019590,엠벤처투자,엠벤처투자,"M-VENTURE INVESTMENT, INC.",1989/03/14,KOSDAQ,주권,중견기업부,보통주,500,69602861
1459,KR7097520001,A097520,엠씨넥스보통주,엠씨넥스,"MCNEX Co.,Ltd.",2021/07/06,KOSPI,주권,,보통주,500,17963282
1460,KR7179290002,A179290,엠아이텍,엠아이텍,"MITECH CO., LTD.",2018/11/29,KOSDAQ,주권,중견기업부,보통주,500,31461018
1461,KR7225860006,A225860,엠앤씨생명과학,엠앤씨생명과학,M&C Life Science,2017/04/25,KONEX,주권,일반기업부,보통주,100,17037138
1462,KR7009780008,A009780,엠에스씨,엠에스씨,MSC,1993/10/12,KOSDAQ,주권,우량기업부,보통주,500,17600000
1463,KR7123040008,A123040,엠에스오토텍,엠에스오토텍,"MS AUTOTECH COMPANY, LIMITED",2010/08/06,KOSDAQ,주권,중견기업부,보통주,500,35654087
1464,KR7323230003,A323230,엠에프엠코리아,엠에프엠코리아,"MFM KOREA Co., Ltd.",2019/06/19,KOSDAQ,주권,중견기업부,보통주,100,20271660
1465,KR7032790008,A032790,엠젠플러스,엠젠플러스,"MGENPLUS CO., LTD.",1997/06/26,KOSDAQ,주권,관리종목(소속부없음),보통주,500,29534345
1466,KR7033160003,A033160,엠케이전자,엠케이전자,MKElectron,1997/11/10,KOSDAQ,주권,우량기업부,보통주,500,21807689
1467,KR7347890006,A347890,엠투아이코퍼레이션,엠투아이,M2I CORPORATION,2020/07/29,KOSDAQ,주권,벤처기업부,보통주,100,16798204
1468,KR7033310004,A033310,엠투엔,엠투엔,"M2N Co.,Ltd",1997/11/10,KOSDAQ,주권,중견기업부,보통주,500,25443881
1469,KR7259630002,A259630,엠플러스,엠플러스,mPlus Corp,2017/09/20,KOSDAQ,주권,우량기업부,보통주,500,11402436
1470,KR7065150005,A065150,엠피대산,엠피대산,MPDAESAN Inc,2007/07/18,KOSDAQ,주권,관리종목(소속부없음),보통주,100,125282405
1471,KR7115960007,A115960,연우,연우,"YONWOO CO., LTD",2015/11/02,KOSDAQ,주권,우량기업부,보통주,500,12398000
1472,KR7090740002,A090740,연이비앤티,연이비앤티,YOUNYI B&T Inc.,2007/09/19,KOSDAQ,주권,관리종목(소속부없음),보통주,500,19126082
1473,KR7060850005,A060850,영림원소프트랩,영림원소프트랩,"YoungLimWon SoftLab. Co., Ltd.",2020/08/12,KOSDAQ,주권,벤처기업부,보통주,500,8131000
1474,KR7014440002,A014440,영보화학보통주,영보화학,YoungboChemical,1997/08/27,KOSPI,주권,,보통주,500,20000000
1475,KR7007530009,A007530,영신금속공업,영신금속,YoungsinMetalIndustrial,1994/08/05,KOSDAQ,주권,중견기업부,보통주,500,19174452
1476,KR7143540003,A143540,영우디에스피,영우디에스피,"YoungWoo DSP Co.,Ltd.",2014/10/29,KOSDAQ,주권,벤처기업부,보통주,500,44599895
1477,KR7111770004,A111770,영원무역보통주,영원무역,Youngone Corporation,2009/07/30,KOSPI,주권,,보통주,500,44311468
1478,KR7009970005,A009970,영원무역홀딩스보통주,영원무역홀딩스,YoungoneHoldings,1988/11/07,KOSPI,주권,,보통주,500,13635592
1479,KR7003520004,A003520,영진약품보통주,영진약품,YUNGJIN PHARM,1973/06/25,KOSPI,주권,,보통주,500,182892731
1480,KR7000670000,A000670,영풍보통주,영풍,Youngpoong,1976/06/12,KOSPI,주권,,보통주,5000,1842040
1481,KR7036560001,A036560,영풍정밀,영풍정밀,YOUNG POONG PRECISION CORPORATION,1999/12/28,KOSDAQ,주권,우량기업부,보통주,500,15750000
1482,KR7006740005,A006740,영풍제지보통주,영풍제지,YoungpoongPaperMfg,1996/07/03,KOSPI,주권,,보통주,500,22200000
1483,KR7012280004,A012280,영화금속보통주,영화금속,YeonghwaMetal,1990/01/25,KOSPI,주권,,보통주,500,53394505
1484,KR7265560003,A265560,영화테크,영화테크,"Younghwa Tech Co., Ltd.",2017/10/26,KOSDAQ,주권,벤처기업부,보통주,500,10690180
1485,KR7012160008,A012160,영흥보통주,영흥,YOUNGWIRE,2010/01/25,KOSPI,주권,,보통주,500,101310372
1486,KR7036000008,A036000,예림당,예림당,"YeaRimDang Publishing Co., Ltd.",1999/11/30,KOSDAQ,주권,중견기업부,보통주,500,23034277
1487,KR7250930005,A250930,예선테크,예선테크,"YeSUN Tech Co., Ltd.",2016/09/29,KOSDAQ,주권,벤처기업부,보통주,100,33000440
1488,KR7053280004,A053280,예스이십사,예스24,"YES24 Co.,Ltd",2008/05/07,KOSDAQ,주권,중견기업부,보통주,500,25000000
1489,KR7015360001,A015360,예스코홀딩스보통주,예스코홀딩스,Yesco Holdings,1996/12/24,KOSPI,주권,,보통주,5000,6000000
1490,KR7122640006,A122640,예스티,예스티,"YEST Co.,Ltd.",2015/12/16,KOSDAQ,주권,벤처기업부,보통주,500,17291129
1491,HK0000312568,A900300,오가닉티코스메틱스홀딩스컴퍼니리미티드,오가닉티코스메틱,ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED,2016/11/04,KOSDAQ,외국주권,외국기업(소속부없음),보통주,무액면,83948289
1492,KR7045060001,A045060,오공,오공,OKONG Corporation,2000/08/10,KOSDAQ,주권,우량기업부,보통주,500,16941974
1493,KR7080520000,A080520,오디텍,오디텍,ODTech,2007/10/08,KOSDAQ,주권,벤처기업부,보통주,500,11746609
1494,KR7007310006,A007310,오뚜기보통주,오뚜기,Ottogi,1994/08/12,KOSPI,주권,,보통주,5000,3671981
1495,KR7039830005,A039830,오로라월드,오로라,AURORA WORLD Corporation,2001/01/03,KOSDAQ,주권,우량기업부,보통주,500,10762890
1496,KR7322310004,A322310,오로스테크놀로지,오로스테크놀로지,"AUROS TECHNOLOGY, INC.",2021/02/24,KOSDAQ,주권,벤처기업부,보통주,500,9366542
1497,KR7046120002,A046120,오르비텍,오르비텍,"Orbitech Co., Ltd.",2010/06/15,KOSDAQ,주권,중견기업부,보통주,500,24968430
1498,KR7014940001,A014940,오리엔탈정공,오리엔탈정공,"ORIENTAL PRECISION & ENGINEERING CO.,LTD",2001/12/26,KOSDAQ,주권,우량기업부,보통주,500,45573661
1499,KR7002630002,A002630,오리엔트바이오보통주,오리엔트바이오,ORIENTBIO,1976/12/28,KOSPI,주권,,보통주,500,118583005
1500,KR7065500001,A065500,오리엔트정공,오리엔트정공,Orient Precision Industries Inc.,2002/09/19,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,117214562
1501,KR7271560005,A271560,오리온보통주,오리온,ORION,2017/07/07,KOSPI,주권,,보통주,500,39536132
1502,KR7001800002,A001800,오리온홀딩스보통주,오리온홀딩스,ORION Holdings,1975/06/27,KOSPI,주권,,보통주,500,62645422
1503,KR7010470003,A010470,오리콤,오리콤,ORICOM Inc.,2000/10/24,KOSDAQ,주권,우량기업부,보통주,1000,11975050
1504,KR7352910004,A352910,오비고,오비고,Obigo Inc.,2021/07/13,KOSDAQ,주권,기술성장기업부,보통주,500,11444824
1505,KR7053980009,A053980,오상자이엘,오상자이엘,"OSANGJAIEL Co., Ltd",2002/04/09,KOSDAQ,주권,중견기업부,보통주,500,17747882
1506,KR7052420007,A052420,오성첨단소재,오성첨단소재,"OSUNG ADVANCED MATERIALS CO., LTD.",2001/08/07,KOSDAQ,주권,우량기업부,보통주,500,72167316
1507,KR7241790005,A241790,오션브릿지,오션브릿지,"OCEANBRIDGE CO., LTD",2016/12/01,KOSDAQ,주권,우량기업부,보통주,500,10002634
1508,KR7329020002,A329020,오션스톤,오션스톤,Ocean Stone,2020/05/07,KONEX,주권,일반기업부,보통주,500,800000
1509,KR7039200001,A039200,오스코텍,오스코텍,OSCOTEC Inc.,2007/01/17,KOSDAQ,주권,벤처기업부,보통주,500,30206525
1510,KR7031510001,A031510,오스템,오스템,"AUSTEM CO.,LTD",1997/02/12,KOSDAQ,주권,중견기업부,보통주,500,28000000
1511,KR7048260004,A048260,오스템임플란트,오스템임플란트,"OSSTEM IMPLANT.CO.,Ltd",2007/02/07,KOSDAQ,주권,우량기업부,보통주,500,14285717
1512,KR7138080007,A138080,오이솔루션,오이솔루션,"OE Solutions Co., Ltd.",2014/02/27,KOSDAQ,주권,우량기업부,보통주,500,10624095
1513,KR7080580004,A080580,오킨스전자,오킨스전자,"OKins Electronics Co.,Ltd.",2014/12/24,KOSDAQ,주권,벤처기업부,보통주,500,17679298
1514,KR7067170001,A067170,오텍,오텍,Autech Corporation,2003/11/14,KOSDAQ,주권,우량기업부,보통주,500,15391605
1515,KR7173130006,A173130,오파스넷,오파스넷,"OPASNET co., Ltd",2018/08/24,KOSDAQ,주권,중견기업부,보통주,500,11860430
