,종목코드,종목명
0,A138930,BNK금융지주
1,A001040,CJ
2,A000120,CJ대한통운
3,A097950,CJ제일제당
4,A114090,GKL
5,A078930,GS
6,A007070,GS리테일
7,A105560,KB금융
8,A002380,KCC
9,A030200,KT
10,A033780,KT&G
11,A093050,LF
12,A003550,LG
13,A034220,LG디스플레이
14,A001120,LG상사
15,A068870,LG생명과학
16,A051900,LG생활건강
17,A032640,LG유플러스
18,A011070,LG이노텍
19,A066570,LG전자
20,A108670,LG하우시스
21,A051910,LG화학
22,A006260,LS
23,A010120,LS산전
24,A035420,NAVER
25,A005940,NH투자증권
26,A010060,OCI
27,A005490,POSCO
28,A064960,S&T모티브
29,A003570,S&T중공업
30,A010950,S-Oil
31,A034120,SBS
32,A034730,SK
33,A011790,SKC
34,A001740,SK네트웍스
35,A096770,SK이노베이션
36,A006120,SK케미칼
37,A017670,SK텔레콤
38,A000660,SK하이닉스
39,A035250,강원랜드
40,A000050,경방
41,A010130,고려아연
42,A002240,고려제강
43,A009290,광동제약
44,A007690,국도화학
45,A011780,금호석유
46,A073240,금호타이어
47,A000270,기아차
48,A024110,기업은행
49,A003920,남양유업
50,A025860,남해화학
51,A002350,넥센타이어
52,A006280,녹십자
53,A004370,농심
54,A019680,대교
55,A008060,대덕전자
56,A000210,대림산업
57,A001680,대상
58,A047040,대우건설
59,A047050,대우인터내셔널
60,A042660,대우조선해양
61,A006800,대우증권
62,A069620,대웅제약
63,A006650,대한유화
64,A003490,대한항공
65,A001230,동국제강
66,A005830,동부화재
67,A000640,동아쏘시오홀딩스
68,A170900,동아에스티
69,A007340,동아타이어
70,A049770,동원F&B
71,A014820,동원시스템즈
72,A000150,두산
73,A082740,두산엔진
74,A042670,두산인프라코어
75,A034020,두산중공업
76,A115390,락앤락
77,A023530,롯데쇼핑
78,A004990,롯데제과
79,A005300,롯데칠성
80,A011170,롯데케미칼
81,A002270,롯데푸드
82,A009680,모토닉
83,A009580,무림P&P
84,A033920,무학
85,A037620,미래에셋증권
86,A084870,베이직하우스
87,A003000,부광약품
88,A005180,빙그레
89,A005090,삼광글라스
90,A005610,삼립식품
91,A006400,삼성SDI
92,A028260,삼성물산
93,A032830,삼성생명
94,A018260,삼성에스디에스
95,A028050,삼성엔지니어링
96,A009150,삼성전기
97,A005930,삼성전자
98,A004000,삼성정밀화학
99,A010140,삼성중공업
100,A016360,삼성증권
101,A029780,삼성카드
102,A000810,삼성화재
103,A145990,삼양사
104,A000070,삼양홀딩스
105,A007860,서연
106,A008490,서흥
107,A004490,세방전지
108,A001430,세아베스틸
109,A003030,세아제강
110,A033530,세종공업
111,A029530,신도리코
112,A004170,신세계
113,A055550,신한지주
114,A003410,쌍용양회
115,A003620,쌍용차
116,A002790,아모레G
117,A090430,아모레퍼시픽
118,A010780,아이에스동서
119,A005850,에스엘
120,A012750,에스원
121,A078520,에이블씨엔씨
122,A036570,엔씨소프트
123,A111770,영원무역
124,A003520,영진약품
125,A000670,영풍
126,A007310,오뚜기
127,A001800,오리온
128,A000030,우리은행
129,A014830,유니드
130,A000100,유한양행
131,A139480,이마트
132,A000230,일동제약
133,A003200,일신방직
134,A007570,일양약품
135,A020150,일진머티리얼즈
136,A030000,제일기획
137,A004700,조광피혁
138,A000480,조선내화
139,A185750,종근당
140,A192820,코스맥스
141,A120110,코오롱인더
142,A021240,코웨이
143,A005740,크라운제과
144,A003240,태광산업
145,A036580,팜스코
146,A103140,풍산
147,A086790,하나금융지주
148,A000080,하이트진로
149,A000140,하이트진로홀딩스
150,A036460,한국가스공사
151,A071050,한국금융지주
152,A025540,한국단자
153,A002960,한국쉘석유
154,A015760,한국전력
155,A104700,한국철강
156,A161890,한국콜마
157,A161390,한국타이어
158,A000240,한국타이어월드와이드
159,A047810,한국항공우주
160,A060980,한라홀딩스
161,A042700,한미반도체
162,A128940,한미약품
163,A009240,한샘
164,A020000,한섬
165,A105630,한세실업
166,A014680,한솔케미칼
167,A004710,한솔테크닉스
168,A004150,한솔홀딩스
169,A018880,한온시스템
170,A003300,한일시멘트
171,A051600,한전KPS
172,A052690,한전기술
173,A097230,한진중공업
174,A000880,한화
175,A088350,한화생명
176,A009830,한화케미칼
177,A012450,한화테크윈
178,A000720,현대건설
179,A005440,현대그린푸드
180,A086280,현대글로비스
181,A064350,현대로템
182,A079430,현대리바트
183,A012330,현대모비스
184,A010620,현대미포조선
185,A069960,현대백화점
186,A012630,현대산업
187,A011200,현대상선
188,A017800,현대엘리베이
189,A011210,현대위아
190,A004020,현대제철
191,A009540,현대중공업
192,A003450,현대증권
193,A005380,현대차
194,A008770,호텔신라
195,A010690,화신
196,A004800,효성
197,A093370,후성
198,A079980,휴비스
199,A069260,휴켐스
