,종목코드,종목명
0,A027410,BGF리테일
1,A138930,BNK금융지주
2,A001040,CJ
3,A000120,CJ대한통운
4,A097950,CJ제일제당
5,A114090,GKL
6,A078930,GS
7,A007070,GS리테일
8,A001060,JW중외제약
9,A105560,KB금융
10,A002380,KCC
11,A030200,KT
12,A033780,KT&G
13,A093050,LF
14,A003550,LG
15,A034220,LG디스플레이
16,A001120,LG상사
17,A051900,LG생활건강
18,A032640,LG유플러스
19,A011070,LG이노텍
20,A066570,LG전자
21,A108670,LG하우시스
22,A051910,LG화학
23,A006260,LS
24,A010120,LS산전
25,A035420,NAVER
26,A005940,NH투자증권
27,A010060,OCI
28,A005490,POSCO
29,A064960,S&T모티브
30,A003570,S&T중공업
31,A010950,S-Oil
32,A034120,SBS
33,A034730,SK
34,A011790,SKC
35,A001740,SK네트웍스
36,A096770,SK이노베이션
37,A006120,SK케미칼
38,A017670,SK텔레콤
39,A000660,SK하이닉스
40,A005610,SPC삼립
41,A035250,강원랜드
42,A000050,경방
43,A010130,고려아연
44,A002240,고려제강
45,A009290,광동제약
46,A007690,국도화학
47,A011780,금호석유
48,A073240,금호타이어
49,A000270,기아차
50,A024110,기업은행
51,A003920,남양유업
52,A025860,남해화학
53,A002350,넥센타이어
54,A006280,녹십자
55,A004370,농심
56,A019680,대교
57,A008060,대덕전자
58,A000210,대림산업
59,A001680,대상
60,A047040,대우건설
61,A042660,대우조선해양
62,A069620,대웅제약
63,A006650,대한유화
64,A003490,대한항공
65,A001230,동국제강
66,A000990,동부하이텍
67,A005830,동부화재
68,A000640,동아쏘시오홀딩스
69,A170900,동아에스티
70,A007340,동아타이어
71,A001520,동양
72,A049770,동원F&B
73,A014820,동원시스템즈
74,A000150,두산
75,A042670,두산인프라코어
76,A034020,두산중공업
77,A115390,락앤락
78,A023530,롯데쇼핑
79,A004000,롯데정밀화학
80,A004990,롯데제과
81,A005300,롯데칠성
82,A011170,롯데케미칼
83,A002270,롯데푸드
84,A204320,만도
85,A008560,메리츠종금증권
86,A033920,무학
87,A006800,미래에셋대우
88,A007210,벽산
89,A003850,보령제약
90,A003000,부광약품
91,A005180,빙그레
92,A005090,삼광글라스
93,A006400,삼성SDI
94,A028260,삼성물산
95,A032830,삼성생명
96,A018260,삼성에스디에스
97,A028050,삼성엔지니어링
98,A009150,삼성전기
99,A005930,삼성전자
100,A010140,삼성중공업
101,A016360,삼성증권
102,A029780,삼성카드
103,A000810,삼성화재
104,A145990,삼양사
105,A000070,삼양홀딩스
106,A008490,서흥
107,A004490,세방전지
108,A001430,세아베스틸
109,A003030,세아제강
110,A029530,신도리코
111,A004170,신세계
112,A055550,신한지주
113,A003410,쌍용양회
114,A003620,쌍용차
115,A002790,아모레G
116,A090430,아모레퍼시픽
117,A010780,아이에스동서
118,A001780,알루코
119,A005850,에스엘
120,A012750,에스원
121,A078520,에이블씨엔씨
122,A036570,엔씨소프트
123,A111770,영원무역
124,A003520,영진약품
125,A000670,영풍
126,A007310,오뚜기
127,A001800,오리온
128,A000030,우리은행
129,A014830,유니드
130,A000100,유한양행
131,A139480,이마트
132,A000230,일동홀딩스
133,A003200,일신방직
134,A007570,일양약품
135,A020150,일진머티리얼즈
136,A030000,제일기획
137,A002620,제일약품
138,A004700,조광피혁
139,A185750,종근당
140,A192820,코스맥스
141,A120110,코오롱인더
142,A021240,코웨이
143,A192400,쿠쿠전자
144,A005740,크라운제과
145,A003240,태광산업
146,A036580,팜스코
147,A047050,포스코대우
148,A103140,풍산
149,A086790,하나금융지주
150,A000080,하이트진로
151,A000140,하이트진로홀딩스
152,A036460,한국가스공사
153,A071050,한국금융지주
154,A025540,한국단자
155,A002960,한국쉘석유
156,A015760,한국전력
157,A104700,한국철강
158,A161890,한국콜마
159,A161390,한국타이어
160,A000240,한국타이어월드와이드
161,A047810,한국항공우주
162,A060980,한라홀딩스
163,A008930,한미사이언스
164,A128940,한미약품
165,A009240,한샘
166,A020000,한섬
167,A105630,한세실업
168,A014680,한솔케미칼
169,A004710,한솔테크닉스
170,A018880,한온시스템
171,A009420,한올바이오파마
172,A003300,한일시멘트
173,A051600,한전KPS
174,A052690,한전기술
175,A097230,한진중공업
176,A000880,한화
177,A088350,한화생명
178,A009830,한화케미칼
179,A012450,한화테크윈
180,A000720,현대건설
181,A005440,현대그린푸드
182,A086280,현대글로비스
183,A064350,현대로템
184,A079430,현대리바트
185,A012330,현대모비스
186,A010620,현대미포조선
187,A069960,현대백화점
188,A012630,현대산업
189,A017800,현대엘리베이
190,A011210,현대위아
191,A004020,현대제철
192,A009540,현대중공업
193,A005380,현대차
194,A001450,현대해상
195,A057050,현대홈쇼핑
196,A008770,호텔신라
197,A004800,효성
198,A093370,후성
199,A069260,휴켐스
