,종목코드,종목명
0,A138930,BS금융지주
1,A001040,CJ
2,A000120,CJ대한통운
3,A097950,CJ제일제당
4,A078930,GS
5,A006360,GS건설
6,A007070,GS리테일
7,A105560,KB금융
8,A002380,KCC
9,A025000,KPX케미칼
10,A030200,KT
11,A033780,KT&G
12,A003550,LG
13,A034220,LG디스플레이
14,A001120,LG상사
15,A068870,LG생명과학
16,A051900,LG생활건강
17,A032640,LG유플러스
18,A011070,LG이노텍
19,A066570,LG전자
20,A093050,LG패션
21,A108670,LG하우시스
22,A051910,LG화학
23,A006260,LS
24,A010120,LS산전
25,A035420,NAVER
26,A010060,OCI
27,A005490,POSCO
28,A064960,S&T모티브
29,A003570,S&T중공업
30,A010950,S-Oil
31,A034120,SBS
32,A003600,SK
33,A034730,SK C&C
34,A011790,SKC
35,A001740,SK네트웍스
36,A096770,SK이노베이션
37,A006120,SK케미칼
38,A017670,SK텔레콤
39,A000660,SK하이닉스
40,A077970,STX엔진
41,A035250,강원랜드
42,A010130,고려아연
43,A002240,고려제강
44,A007690,국도화학
45,A011780,금호석유
46,A073240,금호타이어
47,A000270,기아차
48,A024110,기업은행
49,A003920,남양유업
50,A025860,남해화학
51,A002350,넥센타이어
52,A006280,녹십자
53,A004370,농심
54,A019680,대교
55,A004130,대덕GDS
56,A008060,대덕전자
57,A000210,대림산업
58,A001680,대상
59,A047040,대우건설
60,A047050,대우인터내셔널
61,A042660,대우조선해양
62,A006800,대우증권
63,A069620,대웅제약
64,A000430,대원강업
65,A006650,대한유화
66,A001440,대한전선
67,A003490,대한항공
68,A001230,동국제강
69,A000990,동부하이텍
70,A005830,동부화재
71,A000640,동아쏘시오홀딩스
72,A007340,동아타이어
73,A013570,동양기전
74,A049770,동원F&B
75,A000150,두산
76,A082740,두산엔진
77,A042670,두산인프라코어
78,A034020,두산중공업
79,A115390,락앤락
80,A023530,롯데쇼핑
81,A004990,롯데제과
82,A005300,롯데칠성
83,A011170,롯데케미칼
84,A002270,롯데푸드
85,A060980,만도
86,A009680,모토닉
87,A009580,무림P&P
88,A033920,무학
89,A037620,미래에셋증권
90,A084870,베이직하우스
91,A003000,부광약품
92,A005180,빙그레
93,A005090,삼광글라스
94,A006400,삼성SDI
95,A000830,삼성물산
96,A032830,삼성생명
97,A028050,삼성엔지니어링
98,A009150,삼성전기
99,A005930,삼성전자
100,A004000,삼성정밀화학
101,A010140,삼성중공업
102,A016360,삼성증권
103,A029780,삼성카드
104,A012450,삼성테크윈
105,A000810,삼성화재
106,A000070,삼양홀딩스
107,A004490,세방전지
108,A001430,세아베스틸
109,A003030,세아제강
110,A033530,세종공업
111,A004430,송원산업
112,A029530,신도리코
113,A004170,신세계
114,A055550,신한지주
115,A003410,쌍용양회
116,A003620,쌍용차
117,A002790,아모레G
118,A090430,아모레퍼시픽
119,A010780,아이에스동서
120,A005850,에스엘
121,A012750,에스원
122,A078520,에이블씨엔씨
123,A036570,엔씨소프트
124,A003520,영진약품
125,A000670,영풍
126,A007310,오뚜기
127,A001800,오리온
128,A053000,우리금융
129,A005940,우리투자증권
130,A103130,웅진에너지
131,A008000,웅진케미칼
132,A014830,유니드
133,A000100,유한양행
134,A139480,이마트
135,A005950,이수화학
136,A007570,일양약품
137,A020760,일진디스플
138,A020150,일진머티리얼즈
139,A030000,제일기획
140,A001300,제일모직
141,A001630,종근당홀딩스
142,A006380,카프로
143,A007810,코리아써키트
144,A044820,코스맥스
145,A002020,코오롱
146,A120110,코오롱인더
147,A021240,코웨이
148,A005740,크라운제과
149,A003240,태광산업
150,A005690,파미셀
151,A016800,퍼시스
152,A051310,포스코플랜텍
153,A103140,풍산
154,A086790,하나금융지주
155,A000080,하이트진로
156,A000140,하이트진로홀딩스
157,A036460,한국가스공사
158,A071050,한국금융지주
159,A025540,한국단자
160,A002960,한국쉘석유
161,A015760,한국전력
162,A104700,한국철강
163,A000240,한국타이어월드와이드
164,A047810,한국항공우주
165,A018880,한라비스테온공조
166,A128940,한미약품
167,A020000,한섬
168,A105630,한세실업
169,A004150,한솔제지
170,A004710,한솔테크닉스
171,A009420,한올바이오파마
172,A003300,한일시멘트
173,A007860,한일이화
174,A052690,한전기술
175,A097230,한진중공업
176,A000700,한진해운홀딩스
177,A000880,한화
178,A088350,한화생명
179,A009830,한화케미칼
180,A000720,현대건설
181,A086280,현대글로비스
182,A012330,현대모비스
183,A010620,현대미포조선
184,A069960,현대백화점
185,A012630,현대산업
186,A011200,현대상선
187,A017800,현대엘리베이
188,A011210,현대위아
189,A004020,현대제철
190,A009540,현대중공업
191,A003450,현대증권
192,A005380,현대차
193,A010520,현대하이스코
194,A008770,호텔신라
195,A010690,화신
196,A004800,효성
197,A093370,후성
198,A079980,휴비스
199,A069260,휴켐스
