,종목코드,종목명
0,A138930,BS금융지주
1,A001040,CJ
2,A000120,CJ대한통운
3,A097950,CJ제일제당
4,A078930,GS
5,A006360,GS건설
6,A105560,KB금융
7,A002380,KCC
8,A025000,KPX케미칼
9,A030200,KT
10,A033780,KT&G
11,A003550,LG
12,A034220,LG디스플레이
13,A001120,LG상사
14,A068870,LG생명과학
15,A051900,LG생활건강
16,A032640,LG유플러스
17,A011070,LG이노텍
18,A066570,LG전자
19,A093050,LG패션
20,A108670,LG하우시스
21,A051910,LG화학
22,A006260,LS
23,A010120,LS산전
24,A035420,NHN
25,A010060,OCI
26,A005490,POSCO
27,A064960,S&T모티브
28,A003570,S&T중공업
29,A010950,S-Oil
30,A034120,SBS
31,A003600,SK
32,A034730,SK C&C
33,A011790,SKC
34,A001740,SK네트웍스
35,A096770,SK이노베이션
36,A006120,SK케미칼
37,A017670,SK텔레콤
38,A000660,SK하이닉스
39,A011810,STX
40,A077970,STX엔진
41,A067250,STX조선해양
42,A028670,STX팬오션
43,A035250,강원랜드
44,A000050,경방
45,A010130,고려아연
46,A002240,고려제강
47,A007690,국도화학
48,A011780,금호석유
49,A073240,금호타이어
50,A000270,기아차
51,A024110,기업은행
52,A003920,남양유업
53,A025860,남해화학
54,A002350,넥센타이어
55,A006280,녹십자
56,A004370,농심
57,A019680,대교
58,A008060,대덕전자
59,A000210,대림산업
60,A001680,대상
61,A047040,대우건설
62,A047050,대우인터내셔널
63,A042660,대우조선해양
64,A006800,대우증권
65,A069620,대웅제약
66,A000430,대원강업
67,A006650,대한유화
68,A001440,대한전선
69,A001130,대한제분
70,A003490,대한항공
71,A001230,동국제강
72,A016380,동부제철
73,A000990,동부하이텍
74,A008040,동아원
75,A000640,동아제약
76,A007340,동아타이어
77,A001520,동양
78,A013570,동양기전
79,A000150,두산
80,A082740,두산엔진
81,A042670,두산인프라코어
82,A034020,두산중공업
83,A115390,락앤락
84,A002270,롯데삼강
85,A023530,롯데쇼핑
86,A004990,롯데제과
87,A005300,롯데칠성
88,A060980,만도
89,A009680,모토닉
90,A009580,무림P&P
91,A033920,무학
92,A037620,미래에셋증권
93,A084870,베이직하우스
94,A003000,부광약품
95,A005180,빙그레
96,A005090,삼광유리
97,A006400,삼성SDI
98,A000830,삼성물산
99,A032830,삼성생명
100,A028050,삼성엔지니어링
101,A009150,삼성전기
102,A005930,삼성전자
103,A004000,삼성정밀화학
104,A010140,삼성중공업
105,A016360,삼성증권
106,A029780,삼성카드
107,A012450,삼성테크윈
108,A000810,삼성화재
109,A000070,삼양홀딩스
110,A051310,성진지오텍
111,A004490,세방전지
112,A001430,세아베스틸
113,A003030,세아제강
114,A033530,세종공업
115,A004430,송원산업
116,A029530,신도리코
117,A004170,신세계
118,A055550,신한지주
119,A003410,쌍용양회
120,A003620,쌍용차
121,A002790,아모레G
122,A090430,아모레퍼시픽
123,A010780,아이에스동서
124,A003190,알앤엘바이오
125,A005850,에스엘
126,A012750,에스원
127,A078520,에이블씨엔씨
128,A036570,엔씨소프트
129,A000670,영풍
130,A007310,오뚜기
131,A001800,오리온
132,A004940,외환은행
133,A053000,우리금융
134,A005940,우리투자증권
135,A103130,웅진에너지
136,A008000,웅진케미칼
137,A014830,유니드
138,A000100,유한양행
139,A005950,이수화학
140,A007570,일양약품
141,A020760,일진디스플
142,A020150,일진머티리얼즈
143,A103590,일진전기
144,A030000,제일기획
145,A001300,제일모직
146,A000480,조선내화
147,A001630,종근당
148,A006380,카프로
149,A002020,코오롱
150,A120110,코오롱인더
151,A021240,코웨이
152,A003240,태광산업
153,A005690,파미셀
154,A103140,풍산
155,A086790,하나금융지주
156,A000080,하이트진로
157,A000140,하이트진로홀딩스
158,A036460,한국가스공사
159,A071050,한국금융지주
160,A025540,한국단자
161,A002960,한국쉘석유
162,A015760,한국전력
163,A104700,한국철강
164,A000240,한국타이어월드와이드
165,A018880,한라공조
166,A128940,한미약품
167,A020000,한섬
168,A105630,한세실업
169,A004150,한솔제지
170,A004710,한솔테크닉스
171,A009420,한올바이오파마
172,A003300,한일시멘트
173,A007860,한일이화
174,A052690,한전기술
175,A097230,한진중공업
176,A003480,한진중공업홀딩스
177,A000700,한진해운홀딩스
178,A000880,한화
179,A088350,한화생명
180,A009830,한화케미칼
181,A000720,현대건설
182,A086280,현대글로비스
183,A012330,현대모비스
184,A010620,현대미포조선
185,A069960,현대백화점
186,A012630,현대산업
187,A011200,현대상선
188,A017800,현대엘리베이
189,A011210,현대위아
190,A004020,현대제철
191,A009540,현대중공업
192,A003450,현대증권
193,A005380,현대차
194,A010520,현대하이스코
195,A011170,호남석유
196,A010690,화신
197,A004800,효성
198,A093370,후성
199,A069260,휴켐스
