,종목코드,종목명
0,A138930,BS금융지주
1,A001040,CJ
2,A000120,CJ대한통운
3,A097950,CJ제일제당
4,A114090,GKL
5,A078930,GS
6,A007070,GS리테일
7,A105560,KB금융
8,A002380,KCC
9,A030200,KT
10,A033780,KT&G
11,A093050,LF
12,A003550,LG
13,A034220,LG디스플레이
14,A001120,LG상사
15,A068870,LG생명과학
16,A051900,LG생활건강
17,A032640,LG유플러스
18,A011070,LG이노텍
19,A066570,LG전자
20,A108670,LG하우시스
21,A051910,LG화학
22,A006260,LS
23,A010120,LS산전
24,A035420,NAVER
25,A010060,OCI
26,A005490,POSCO
27,A064960,S&T모티브
28,A003570,S&T중공업
29,A010950,S-Oil
30,A034120,SBS
31,A003600,SK
32,A034730,SK C&C
33,A011790,SKC
34,A001740,SK네트웍스
35,A096770,SK이노베이션
36,A006120,SK케미칼
37,A017670,SK텔레콤
38,A000660,SK하이닉스
39,A035250,강원랜드
40,A010130,고려아연
41,A002240,고려제강
42,A009290,광동제약
43,A007690,국도화학
44,A011780,금호석유
45,A073240,금호타이어
46,A000270,기아차
47,A024110,기업은행
48,A003920,남양유업
49,A025860,남해화학
50,A002350,넥센타이어
51,A006280,녹십자
52,A004370,농심
53,A019680,대교
54,A004130,대덕GDS
55,A008060,대덕전자
56,A000210,대림산업
57,A001680,대상
58,A047040,대우건설
59,A047050,대우인터내셔널
60,A042660,대우조선해양
61,A006800,대우증권
62,A069620,대웅제약
63,A000430,대원강업
64,A006650,대한유화
65,A001440,대한전선
66,A003490,대한항공
67,A008000,도레이케미칼
68,A001230,동국제강
69,A000990,동부하이텍
70,A005830,동부화재
71,A000640,동아쏘시오홀딩스
72,A170900,동아에스티
73,A007340,동아타이어
74,A013570,동양기전
75,A049770,동원F&B
76,A000150,두산
77,A082740,두산엔진
78,A042670,두산인프라코어
79,A034020,두산중공업
80,A115390,락앤락
81,A023530,롯데쇼핑
82,A004990,롯데제과
83,A005300,롯데칠성
84,A011170,롯데케미칼
85,A002270,롯데푸드
86,A009680,모토닉
87,A009580,무림P&P
88,A033920,무학
89,A037620,미래에셋증권
90,A084870,베이직하우스
91,A003000,부광약품
92,A005180,빙그레
93,A005090,삼광글라스
94,A005610,삼립식품
95,A006400,삼성SDI
96,A000830,삼성물산
97,A032830,삼성생명
98,A028050,삼성엔지니어링
99,A009150,삼성전기
100,A005930,삼성전자
101,A004000,삼성정밀화학
102,A010140,삼성중공업
103,A016360,삼성증권
104,A029780,삼성카드
105,A012450,삼성테크윈
106,A000810,삼성화재
107,A000070,삼양홀딩스
108,A007860,서연
109,A008490,서흥
110,A004490,세방전지
111,A001430,세아베스틸
112,A003030,세아제강
113,A033530,세종공업
114,A004430,송원산업
115,A029530,신도리코
116,A004170,신세계
117,A055550,신한지주
118,A003410,쌍용양회
119,A003620,쌍용차
120,A002790,아모레G
121,A090430,아모레퍼시픽
122,A010780,아이에스동서
123,A005850,에스엘
124,A012750,에스원
125,A078520,에이블씨엔씨
126,A036570,엔씨소프트
127,A003520,영진약품
128,A000670,영풍
129,A007310,오뚜기
130,A001800,오리온
131,A000030,우리은행
132,A005940,우리투자증권
133,A014830,유니드
134,A000100,유한양행
135,A139480,이마트
136,A005950,이수화학
137,A007570,일양약품
138,A020760,일진디스플
139,A020150,일진머티리얼즈
140,A033240,자화전자
141,A030000,제일기획
142,A000480,조선내화
143,A006380,카프로
144,A007810,코리아써키트
145,A002020,코오롱
146,A120110,코오롱인더
147,A021240,코웨이
148,A005740,크라운제과
149,A003240,태광산업
150,A016800,퍼시스
151,A051310,포스코플랜텍
152,A103140,풍산
153,A086790,하나금융지주
154,A000080,하이트진로
155,A000140,하이트진로홀딩스
156,A036460,한국가스공사
157,A071050,한국금융지주
158,A025540,한국단자
159,A002960,한국쉘석유
160,A015760,한국전력
161,A104700,한국철강
162,A161890,한국콜마
163,A161390,한국타이어
164,A000240,한국타이어월드와이드
165,A047810,한국항공우주
166,A018880,한라비스테온공조
167,A060980,한라홀딩스
168,A128940,한미약품
169,A020000,한섬
170,A105630,한세실업
171,A004150,한솔제지
172,A004710,한솔테크닉스
173,A003300,한일시멘트
174,A051600,한전KPS
175,A052690,한전기술
176,A097230,한진중공업
177,A000880,한화
178,A088350,한화생명
179,A009830,한화케미칼
180,A000720,현대건설
181,A086280,현대글로비스
182,A012330,현대모비스
183,A010620,현대미포조선
184,A069960,현대백화점
185,A012630,현대산업
186,A011200,현대상선
187,A017800,현대엘리베이
188,A011210,현대위아
189,A004020,현대제철
190,A009540,현대중공업
191,A003450,현대증권
192,A005380,현대차
193,A010520,현대하이스코
194,A008770,호텔신라
195,A010690,화신
196,A004800,효성
197,A093370,후성
198,A079980,휴비스
199,A069260,휴켐스
